Symbol,Name,Last,Sector,Industry,Time,"10Y %Chg","YTD %Chg",Beta,"Market Cap",Sales(a),"Net Income(a)","Earnings ttm","Div Yield","52W Chg"
RCL,"Royal Caribbean Cruises Ltd",39.72,"Consumer Discretionary","Leisure & Recreation Services","15:59 ET",+51.71%,-47.98%,2.4,10068212000,1532130000,-5260500000,-19.32,0.00%,-46.93
PHM,Pultegroup,39.44,Construction,"Building - Residential & Comm","15:59 ET",+272.71%,-30.69%,1.32,9476564000,13926880000,1946320000,7.88,1.50%,-14.59
NRG,"NRG Energy",39.11,Utilities,"Utility - Electric Power","16:00 ET",+127.07%,-8.87%,0.89,9353735000,26989000000,2187000000,7.08,3.45%,1.75
INTC,"Intel Corp",38.65,"Computers and Technology","Semi General","16:00 ET",+42.33%,-24.74%,0.6,155095776000,79024000000,19868000000,4.95,3.87%,-19.23
WFC,"Wells Fargo & Company",38.17,Finance,"Banks - Major Regional","16:03 ET",+11.93%,-20.23%,1.13,141872880000,82407000000,21548000000,4.81,2.56%,-7.18
TWTR,"Twitter Inc",38,"Computers and Technology","Internet - Software","15:59 ET",N/A,-12.03%,0.58,28420376000,5077480000,-221410000,0.28,0.00%,-22.21
UAL,"United Airlines Holdings Inc",37.89,Transportation,"Transportation - Airline","16:00 ET",+52.03%,-13.09%,1.23,12085706000,24634000000,-1964000000,-10.77,0.00%,-17.24
FE,"Firstenergy Corp",37.24,Utilities,"Utility - Electric Power","16:03 ET",-21.96%,-10.51%,0.37,21918080000,11132000000,1283000000,2.52,4.01%,-1.66
LUV,"Southwest Airlines Company",37.23,Transportation,"Transportation - Airline","16:00 ET",+303.69%,-12.63%,0.92,22069822000,15790000000,977000000,-0.76,0.00%,-19.69
FCX,"Freeport-Mcmoran Inc",36.9,"Basic Materials","Mining - Non Ferrous","16:03 ET",+8.07%,-11.19%,2.02,53361824000,22845000000,4306000000,3.69,0.81%,-0.54
CARR,"Carrier Global Corp",36.77,"Computers and Technology","Electronics Products - Misc","16:00 ET",N/A,-32.06%,1.36,30485818000,20613000000,1664000000,2.33,1.64%,-9.68
